bampo	Lithang	Lhasa	Dege
lj0001_001	1@1b1	1@1b1	1@1b1
lj0001_002	1@17b8	1@20b7	1@15a7
lj0001_003	1@27b4	1@33b6	1@25a2
lj0001_004	1@37b3	1@47a3	1@34b7
lj0001_005	1@47a2	1@63a1	1@45b6
lj0001_006	1@67a8	1@88b2	1@64a1
lj0001_007	1@79a1	1@105a6	1@75b1
lj0001_008	1@90b6	1@121b6	1@87a6
lj0001_009	1@102b5	1@138a7	1@99a2
lj0001_010	1@115a2	1@155b3	1@111a4
lj0001_011	1@128a3	1@173a7	1@124a2
lj0001_012	1@140b6	1@192a6	1@137b3
lj0001_013	1@155b2	1@213b5	1@152a1
lj0001_014	1@168a2	1@231a4	1@164b4
lj0001_015	1@181b8	1@248b2	1@176b4
lj0001_016	1@197a7	1@269b3	1@191b5
lj0001_017	1@212a5	1@289b3	1@206a4
lj0001_018	1@224b1	1@306b1	1@218b1
lj0001_019	1@238a8	1@325a2	1@232a5
lj0001_020	1@251a8	1@343a2	1@245a6
lj0001_021	1@264a5	1@361a3	1@258b3
lj0001_022	1@278a1	2@1b1	1@272b6
lj0001_023	1@290a1	2@19a5	1@285a5
lj0001_024	1@302b2	2@37a4	1@298a6
lj0001_025	2@1b1	2@55a7	2@1b1
lj0001_026	2@13b5	2@73a7	2@14a5
lj0001_027	2@26a8	2@92a3	2@27a2
lj0001_028	2@39a1	2@110a6	2@39b6
lj0001_029	2@49a6	2@125a5	2@50a6
lj0001_030	2@59b4	2@140b1	2@60b7
lj0001_031	2@69b5	2@154b3	2@70b6
lj0001_032	2@78b6	2@167b4	2@80a5
lj0001_033	2@88b3	2@181b1	2@90a5
lj0001_034	2@99a8	2@196b6	2@101a4
lj0001_035	2@109b2	2@211a7	2@111a6
lj0001_036	2@119b5	2@225b7	2@121b1
lj0001_037	2@130b6	2@2401b2	2@132b3
lj0001_038	2@141b1	2@256b5	2@143a3
lj0001_039	2@153a1	2@272a4	2@154a5
lj0001_040	2@163a7	2@285b5	2@164a5
lj0001_041	2@172b6	2@298b2	2@173a1
lj0001_042	2@182a7	2@312a5	2@182a6
lj0001_043	2@192a8	2@326a7	2@191b5
lj0001_044	2@201a1	2@339a3	2@200a4
lj0001_045	2@210b3	2@353a6	2@209b5
lj0001_046	2@221a3	2@368a7	2@220a3
lj0001_047	2@231b4	2@383b3	2@230b6
lj0001_048	2@242b1	2@398b4	2@241a7
lj0001_049	2@252b5	2@413b1	2@252a6
lj0001_050	2@264b7	2@431a8	2@265a3
lj0001_051	2@276b2	2@446a1	2@275a7
lj0001_052	2@286b4	2@460b6	2@286a6
lj0001_053	2@299a1	2@477a8	2@297b6
lj0001_054	2@309b6	2@492a4	2@308a4
lj0001_055	3@1b1	3@1b1	3@1b1
lj0001_056	3@11a3	3@16a3	3@11b7
lj0001_057	3@21a2	3@29a6	3@21b2
lj0001_058	3@31b5	3@44a4	3@31b1
lj0001_059	3@41a6	3@57b1	3@40a4
lj0001_060	3@51a7	3@71a4	3@49a7
lj0001_061	3@62a4	3@85b8	3@58b7
lj0001_062	3@72b3	3@100a7	3@68a7
lj0001_063	3@84a8	3@117a1	3@79a5
lj0001_064	3@95b2	3@132b1	3@89b3
lj0001_065	3@103b3	3@145a2	3@98a3
lj0001_066	3@112b4	3@158b3	3@107a7
lj0001_067	3@121b5	3@172a2	3@116a5
lj0001_068	3@131a1	3@184a1	3@124a7
lj0001_069	3@143a4	3@199b3	3@134b3
lj0001_070	3@154b2	3@214a2	3@143b7
lj0001_071	3@167b7	3@230b4	3@154b4
lj0001_072	3@183b1	3@250a1	3@167a4
lj0001_073	3@195a2	3@265b5	3@177a6
lj0001_074	3@205b3	3@280a3	3@187a1
lj0001_075	3@216a4	3@295a3	3@197a2
lj0001_076	3@228a2	3@312a1	3@208a7
lj0001_077	3@239a2	3@328b3	3@219a3
lj0001_078	3@251b3	3@347a2	3@231b1
lj0001_079	3@264b1	3@364a7	3@243a6
lj0001_080	3@277b3	3@381a7	3@255b1
lj0001_081	3@291a2	3@401a4	3@268b4
lj0001_082	3@302b4	3@417b6	3@280b2
lj0001_083	4@1b1	4@1b1	4@1b2
lj0001_084	4@15a5	4@19b6	4@13b7
lj0001_085	4@27b2	4@36b1	4@25b6
lj0001_086	4@39a2	4@52a6	4@36b3
lj0001_087	4@50a3	4@68a2	4@47a2
lj0001_088	4@63a1	4@84b2	4@59a1
lj0001_089	4@75b7	4@102a3	4@70b6
lj0001_090	4@89a3	4@120a7	4@83a2
lj0001_091	4@101a7	4@137b2	4@94b7
lj0001_092	4@112b3	4@153a6	4@106a6
lj0001_093	4@125a7	4@171a5	4@119a1
lj0001_094	4@137a2	4@187a5	4@130a3
lj0001_095	4@148a8	4@203a1	4@141a1
lj0001_096	4@159b1	4@217b3	4@151b2
lj0001_097	4@170b8	4@233b1	4@162b5
lj0001_098	4@182a2	4@249b5	4@174a4
lj0001_099	4@192a1	4@264b1	4@185a1
lj0001_100	4@203a4	4@280b4	4@196b4
lj0001_101	4@214b2	4@303a1	4@208b1
lj0001_102	4@225a2	4@313b6	4@219b1
